epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,979.018,0.94115,0.45579,0.94108,0.91781,0.82719,0.8913,0.49147,1.60021,0.83662,1.28261,0.0014555,0.0014555,0.0014555
57,993.987,0.9326,0.45216,0.93346,0.90617,0.87582,0.90871,0.48311,1.643,0.84714,1.28734,0.0014456,0.0014456,0.0014456
58,1012.07,0.92213,0.45235,0.93354,0.90936,0.85244,0.88723,0.46883,1.63523,0.82702,1.31529,0.0014357,0.0014357,0.0014357
59,1027.38,0.9292,0.45929,0.93068,0.95077,0.84146,0.90494,0.4739,1.62657,0.82796,1.28255,0.0014258,0.0014258,0.0014258
60,1042.76,0.90961,0.45129,0.92464,0.91695,0.84532,0.88785,0.46893,1.64227,0.8673,1.30211,0.0014159,0.0014159,0.0014159
61,1062.5,0.89923,0.4455,0.92557,0.94138,0.8397,0.90359,0.48662,1.62421,0.85071,1.31072,0.001406,0.001406,0.001406
62,1077.62,0.90227,0.44553,0.92875,0.92258,0.83224,0.89213,0.47723,1.65909,0.84999,1.30121,0.0013961,0.0013961,0.0013961
63,1092.82,0.8819,0.43799,0.92073,0.91436,0.86275,0.90707,0.4842,1.64552,0.81988,1.27125,0.0013862,0.0013862,0.0013862
64,1107.85,0.86943,0.42524,0.90942,0.91203,0.85621,0.89142,0.46769,1.63812,0.87239,1.28188,0.0013763,0.0013763,0.0013763
65,1124.05,0.86808,0.42652,0.9099,0.91103,0.84096,0.87881,0.46749,1.65237,0.91102,1.31071,0.0013664,0.0013664,0.0013664
66,1142.84,0.8579,0.42277,0.91257,0.93952,0.84607,0.89261,0.48179,1.611,0.884,1.29357,0.0013565,0.0013565,0.0013565
67,1158.94,0.85591,0.42637,0.91012,0.9404,0.83007,0.89713,0.48859,1.58586,0.84434,1.25689,0.0013466,0.0013466,0.0013466
68,1174.31,0.83706,0.41289,0.90481,0.95684,0.84096,0.90555,0.48911,1.59711,0.81403,1.25214,0.0013367,0.0013367,0.0013367
69,1189.82,0.84449,0.41575,0.90128,0.96046,0.84672,0.91314,0.4933,1.58005,0.79118,1.25237,0.0013268,0.0013268,0.0013268
70,1205.14,0.81824,0.411,0.89355,0.91418,0.84096,0.90149,0.50224,1.56065,0.77603,1.25906,0.0013169,0.0013169,0.0013169
71,1223.39,0.8271,0.41254,0.89425,0.93707,0.84349,0.91045,0.4995,1.58282,0.78009,1.28115,0.001307,0.001307,0.001307
72,1240.52,0.82965,0.4116,0.90019,0.94624,0.84355,0.90006,0.48344,1.62741,0.76887,1.29471,0.0012971,0.0012971,0.0012971
73,1256.02,0.82366,0.40791,0.89682,0.93088,0.86492,0.91509,0.4962,1.61556,0.74531,1.27955,0.0012872,0.0012872,0.0012872
74,1271.4,0.82093,0.40621,0.89875,0.91649,0.86078,0.89907,0.49872,1.56447,0.777,1.26125,0.0012773,0.0012773,0.0012773
75,1287.48,0.80861,0.40126,0.88867,0.92976,0.87146,0.9113,0.499,1.59709,0.75348,1.29542,0.0012674,0.0012674,0.0012674
76,1302.82,0.79951,0.39813,0.88914,0.92833,0.84661,0.9055,0.49616,1.61784,0.77879,1.28298,0.0012575,0.0012575,0.0012575
77,1318.92,0.78896,0.39264,0.8859,0.92413,0.84532,0.88941,0.47472,1.63775,0.84696,1.32306,0.0012476,0.0012476,0.0012476
78,1334.28,0.78692,0.39077,0.8921,0.93056,0.84672,0.88357,0.48282,1.61505,0.80937,1.28685,0.0012377,0.0012377,0.0012377
79,1349.35,0.7707,0.38934,0.88324,0.95457,0.85621,0.90488,0.48989,1.60343,0.79234,1.27909,0.0012278,0.0012278,0.0012278
80,1365.16,0.77415,0.39129,0.88402,0.95982,0.82789,0.90319,0.49134,1.63813,0.78943,1.32153,0.0012179,0.0012179,0.0012179
