epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,172.658,0.47707,1.93304,0.20637,0.42343,0.99088,0.96095,0.82362,0.9025,0.72025,0.86944,0.76747,0.75287,0.49912,0.62393,2.19447,0.16829,0.57335,1.09973,0.000412749,0.000412749,0.000412749
40,176.539,0.49577,1.89105,0.20998,0.42643,0.99706,0.97195,0.83652,0.9168,0.72949,0.91192,0.7871,0.80494,0.53815,0.67231,2.16068,0.1641,0.5439,1.09801,0.000379743,0.000379743,0.000379743
41,180.984,0.4014,1.37808,0.1483,0.34349,0.93866,0.91471,0.8263,0.884,0.70614,0.89107,0.78821,0.80662,0.5495,0.66541,2.19472,0.16474,0.6177,1.11319,0.000346736,0.000346736,0.000346736
42,184.906,0.37116,1.24316,0.12893,0.29704,0.91863,0.90843,0.82105,0.89345,0.73317,0.96211,0.75895,0.83279,0.55355,0.64723,2.15354,0.1523,0.60096,1.11585,0.000313729,0.000313729,0.000313729
43,188.989,0.38003,1.25351,0.12779,0.32363,0.919,0.96467,0.80458,0.89799,0.75073,0.926,0.76403,0.79996,0.55752,0.62234,2.04205,0.14222,0.55839,1.06154,0.000280723,0.000280723,0.000280723
44,193.049,0.35529,1.19748,0.13271,0.30144,0.92115,0.94187,0.82375,0.88656,0.75278,0.96469,0.78033,0.81778,0.56388,0.60713,2.07202,0.13841,0.53696,1.06219,0.000247716,0.000247716,0.000247716
45,197.339,0.34999,1.15599,0.12349,0.29308,0.92587,0.89879,0.85415,0.88642,0.75854,0.87536,0.83189,0.82971,0.57257,0.56984,2.06167,0.1362,0.55223,1.03951,0.00021471,0.00021471,0.00021471
46,201.45,0.33328,1.09299,0.1227,0.26828,0.90334,0.93876,0.85562,0.89231,0.77237,0.93099,0.78927,0.82537,0.58296,0.54724,1.9946,0.13642,0.547,1.00881,0.000181703,0.000181703,0.000181703
47,205.61,0.32171,1.01699,0.1246,0.25276,0.89162,0.93511,0.8466,0.89449,0.76266,0.89112,0.78826,0.82668,0.58409,0.59572,2.01946,0.13681,0.51081,1.08419,0.000148696,0.000148696,0.000148696
48,209.42,0.31214,0.98206,0.1157,0.25235,0.8963,0.92798,0.85006,0.89289,0.7637,0.93626,0.77151,0.81295,0.57227,0.57952,1.97083,0.1382,0.5208,1.06949,0.00011569,0.00011569,0.00011569
49,213.275,0.30636,0.98968,0.12126,0.24451,0.88626,0.905,0.85332,0.89577,0.76271,0.93721,0.77203,0.81827,0.58253,0.58024,1.94017,0.13283,0.51092,1.05654,8.26832e-05,8.26832e-05,8.26832e-05
50,217.166,0.29593,0.92227,0.11519,0.2331,0.87227,0.92266,0.8511,0.89851,0.76826,0.9296,0.79017,0.82686,0.59473,0.56604,1.94919,0.13051,0.49491,1.04276,4.96766e-05,4.96766e-05,4.96766e-05
